,value
0,<p>{{c1::大同小异}}<br>{{c2::dà tóng xiǎo yì}}
1,<p>{{c1::中毒}}<br>{{c2::zhòng dú}}
2,<p>{{c1::防护}}<br>{{c2::fáng hù}}
3,<p>{{c1::严重}}<br>{{c2::yán zhòng}}
4,<p>{{c1::似乎}}<br>{{c2::sì hū}}
5,<p>{{c1::存在}}<br>{{c2::cún zài}}
6,<p>{{c1::环境}}<br>{{c2::huán jìng}}
7,<p>{{c1::洁净}}<br>{{c2::jié jìng}}
8,<p>{{c1::清静}}<br>{{c2::qīng jìng}}
9,<p>{{c1::关怀}}<br>{{c2::guān huái}}
10,<p>{{c1::今人}}<br>{{c2::jīn rén}}
11,<p>{{c1::痛心}}<br>{{c2::tòng xīn}}
12,<p>{{c1::善于}}<br>{{c2::shàn yú}}
13,<p>{{c1::不可}}<br>{{c2::bù kě}}
14,<p>{{c1::持续}}<br>{{c2::chí xù}}
15,<p>{{c1::塑料}}<br>{{c2::sù liào}}
16,<p>{{c1::项目}}<br>{{c2::xiàng mù}}
17,<p>{{c1::花费}}<br>{{c2::huā fèi}}
18,<p>{{c1::意识}}<br>{{c2::yì shí}}
19,<p>{{c1::始料未及}}<br>{{c2::shǐ liào wèi jí}}
20,<p>{{c1::阻挠}}<br>{{c2::zǔ náo}}
21,<p>{{c1::拍摄}}<br>{{c2::pāi shè}}
22,<p>{{c1::对象}}<br>{{c2::duì xiàng}}
23,<p>{{c1::素材}}<br>{{c2::sù cái}}
24,<p>{{c1::前提}}<br>{{c2::qián tí}}
25,<p>{{c1::说服}}<br>{{c2::shuō fú}}
26,<p>{{c1::接纳}}<br>{{c2::jiē nà}}
27,<p>{{c1::真诚}}<br>{{c2::zhēn chéng}}
28,<p>{{c1::选择权}}<br>{{c2::xuǎn zé quán}}
29,<p>{{c1::表象}}<br>{{c2::biǎo xiàng}}
30,<p>{{c1::摄影机}}<br>{{c2::shè yǐng jī}}
31,<p>{{c1::从而}}<br>{{c2::cóng ér}}
32,<p>{{c1::促使}}<br>{{c2::cù shǐ}}
33,<p>大同小异<br>{{c1::virtually the same; differing only on small points}}</p>
34,<p>中毒<br>{{c1::to be poisoned; poisoning}}</p>
35,<p>防护<br>{{c1::to defend; to protect}}</p>
36,<p>严重<br>{{c1::grave; serious; severe; critical}}</p>
37,<p>似乎<br>{{c1::apparently; to seem; to appear; as if; seemingly}}</p>
38,<p>存在<br>{{c1::to exist; to be; existence}}</p>
39,<p>环境<br>{{c1::environment; circumstances; surroundings; Classifiers: 个 ; ambient}}</p>
40,<p>洁净<br>{{c1::clean; to cleanse}}</p>
41,<p>清静<br>{{c1::quiet; peaceful and quiet}}</p>
42,<p>关怀<br>{{c1::care; solicitude; to show care for; concerned about; attentive to}}</p>
43,<p>今人<br>{{c1::modern people}}</p>
44,<p>痛心<br>{{c1::grieved; pained}}</p>
45,<p>善于<br>{{c1::to be good at; to be adept at}}</p>
46,<p>不可<br>{{c1::cannot; should not; must not}}</p>
47,<p>持续<br>{{c1::to continue; to persist; sustainable; preservation}}</p>
48,<p>塑料<br>{{c1::plastics; Classifiers: 种}}</p>
49,<p>项目<br>{{c1::item; project; (sports) event; Classifiers: 个}}</p>
50,<p>花费<br>{{c1::expense; cost; to spend (time or money); expenditure}}</p>
51,<p>意识<br>{{c1::consciousness; awareness; to be aware; to realize}}</p>
52,<p>始料未及<br>{{c1::not expected at the outset (idiom); unforeseen; to be surprised by the turn of events}}</p>
53,<p>阻挠<br>{{c1::to thwart; to obstruct (sth)}}</p>
54,<p>拍摄<br>{{c1::to film; to shoot (a picture)}}</p>
55,<p>对象<br>{{c1::target; object; partner; boyfriend; girlfriend; Classifiers: 个}}</p>
56,<p>素材<br>{{c1::source material (in literature and art)}}</p>
57,<p>前提<br>{{c1::premise; precondition; prerequisite}}</p>
58,<p>说服<br>{{c1::to persuade; to convince; to talk sb over; Taiwan pr. [shui4 fu2]}}</p>
59,<p>接纳<br>{{c1::to admit (to membership)}}</p>
60,<p>真诚<br>{{c1::true; sincere; genuine}}</p>
62,<p>表象<br>{{c1::idea}}</p>
63,<p>摄影机<br>{{c1::camera; movie camera}}</p>
64,<p>从而<br>{{c1::thus; thereby}}</p>
65,<p>促使<br>{{c1::to induce; to promote; to urge; to impel; to bring about; to provoke; to drive (sb to do sth); to catalyze; to actuate; to contribute to (some development)}}</p>
